dir,/home/junkado/Desktop/keio/20180325/3ddata/pitcher/sekiya/,the number of files,10,optimal reference,3-1_003.csv,
0.000000000000000000e+00,1.049414992465547130e+02,8.454969613467150680e+01,1.087831086763720236e+02,9.007453373877858382e+01,9.570881576594224782e+01,7.966426512596973453e+01,1.128432573951109532e+02,5.662736494454853897e+01,1.256566592789911425e+02
1.316436557321982548e+02,0.000000000000000000e+00,8.746875039725041745e+01,1.342354903446694721e+02,8.839638379526336109e+01,1.416795350696046683e+02,1.215087885607779015e+02,7.899353402838106319e+01,1.270311564924072059e+02,6.139864803449805919e+01
8.404167496203550058e+01,6.423970970184510065e+01,0.000000000000000000e+00,7.470743724124618268e+01,7.395330919345498444e+01,8.320948311191857272e+01,7.385918808290921334e+01,9.666659736374914758e+01,8.836416301334585910e+01,7.989558143182517824e+01
7.044244826364491985e+01,3.442148905698290662e+01,3.831232580805487231e+01,0.000000000000000000e+00,6.754842213413806462e+01,4.418268778004961206e+01,6.847478587818127949e+01,6.710003397149436921e+01,6.769988134806479252e+01,4.622223295300658208e+01
8.049731468326773154e+01,6.914912383121877326e+01,6.920545587509589325e+01,8.580229309177451569e+01,0.000000000000000000e+00,9.169824504631641560e+01,6.407772549366760018e+01,7.702183502749640809e+01,7.828375256513780300e+01,7.629109084993267231e+01
3.726570076050782632e+02,3.598568683566618347e+02,3.558102588252867804e+02,3.478464949870568717e+02,3.829674000116013417e+02,0.000000000000000000e+00,3.806007818884219773e+02,3.851507889857739428e+02,3.722778969426930757e+02,3.713217387848853264e+02
7.612989065450288706e+01,8.749897033701030580e+01,6.622370628191931985e+01,8.644964822773562219e+01,7.052461665480198860e+01,9.269108552248265198e+01,0.000000000000000000e+00,1.225216790340957260e+02,8.561857171881044337e+01,1.082902010747167907e+02
1.008969866615125568e+02,6.557549882747869674e+01,9.754525676134267087e+01,1.141873412335519191e+02,8.728514175324855273e+01,1.136377017592522236e+02,1.262628981441221470e+02,0.000000000000000000e+00,8.334149264162323334e+01,7.128796755181069500e+01
8.200980835840375960e+01,1.275581924610484634e+02,1.155793385751106257e+02,1.314359590400565878e+02,1.118519284504196918e+02,1.220064239731896976e+02,1.172485871804923505e+02,1.193076311184105407e+02,0.000000000000000000e+00,1.397208149160696280e+02
2.333996294928843440e+02,1.017473983090295491e+02,1.695503848613910520e+02,2.477280345547907814e+02,1.682059844102301724e+02,2.528920458737717070e+02,2.149547618978687922e+02,1.537883648384275261e+02,2.221549462071931487e+02,0.000000000000000000e+00
