dir,/home/junkado/Desktop/keio/20180325/3ddata/pitcher/hioki/,type,straight,files number,10,optimal reference,2-1_008.csv,
9.205891985295694724e+01,8.379771129562200827e+01,9.358694628401742932e+01,1.131252299662207008e+02,9.008854541844793573e+01,7.991383887893462656e+01,1.088618691255276332e+02,0.000000000000000000e+00,1.046041308185883310e+02
6.079815953076472823e+01,7.177864107928790816e+01,7.531602889160980396e+01,8.503265724332226227e+01,7.409776468563960350e+01,6.172911864002107762e+01,9.644020702789352129e+01,8.771590863085906165e+01,0.000000000000000000e+00
dir,/home/junkado/Desktop/keio/20180325/3ddata/pitcher/takahashi/,type,breaking,files number,10,optimal reference,4-1_011.csv,
0.000000000000000000e+00,9.519728117432630654e+01,1.051265274123548465e+02,9.947331962158784791e+01,1.312089047327013418e+02,1.146818382167844845e+02,1.092017467820844558e+02,6.348552946738334413e+01,7.695510956580427830e+01,1.170619107357697430e+02
7.917762260546594177e+01,0.000000000000000000e+00,6.879778421961874812e+01,7.245353017286844022e+01,8.975238035020129246e+01,8.339903577188182737e+01,6.161670624008248609e+01,7.387703428416203622e+01,8.324228495466995525e+01,7.069652263422679539e+01
1.080250775577721924e+02,1.328488141142300663e+02,0.000000000000000000e+00,6.064714810014962154e+01,1.466740877186938974e+02,7.060717617760845144e+01,5.775574276444541511e+01,9.653412416752179581e+01,1.168079923863137850e+02,6.848167760335574883e+01
9.627366145942022513e+01,1.041581610482870701e+02,5.619640181594424888e+01,0.000000000000000000e+00,1.402226502211939021e+02,9.295260802603159789e+01,7.239470786105840716e+01,8.766033130727448963e+01,9.057390042005484077e+01,9.630179259507616507e+01
1.273397097343957824e+02,1.069534124201764627e+02,8.347425040677569541e+01,1.047763950933854602e+02,0.000000000000000000e+00,6.139370343697328281e+01,7.288859474862651666e+01,1.080353453467904075e+02,1.079154485298631556e+02,6.313508335194025278e+01
1.144783223992180581e+02,1.310943472583605001e+02,7.321646674196433935e+01,9.752649124635313171e+01,1.096685190180474905e+02,0.000000000000000000e+00,9.366713023679757555e+01,1.005454227015976727e+02,1.028242645735422940e+02,6.972761422712112278e+01
1.591214044256786906e+02,1.472416866798548085e+02,5.393844324543574942e+01,1.167927082788079218e+02,1.859393936043915971e+02,1.337137227972297069e+02,0.000000000000000000e+00,1.823198497778724629e+02,1.219242068725675523e+02,9.342827206599820045e+01
6.566973889327886127e+01,1.190349457089418905e+02,1.000345987359124251e+02,9.445229561071970181e+01,1.342029465619346809e+02,9.946779383916070572e+01,1.145728803136799598e+02,0.000000000000000000e+00,8.835948197049589226e+01,1.134035697815945269e+02
7.186028894248072163e+01,9.941320493169686756e+01,7.919489287968578139e+01,6.640975759078951057e+01,1.269081473281430590e+02,1.067309775218540580e+02,7.989694065721806737e+01,7.781990421494457166e+01,0.000000000000000000e+00,1.017868565704048081e+02
1.456627578877344149e+02,1.243196309164408433e+02,8.045902260431203956e+01,1.276930525184404530e+02,1.143218144552520243e+02,7.931139884877644874e+01,7.816856825727164448e+01,1.439968512586330860e+02,1.267134745920824628e+02,0.000000000000000000e+00
dir,/home/junkado/Desktop/keio/20180325/3ddata/pitcher/oishi/,type,straight,files number,10,optimal reference,1-1-005_006.csv,
0.000000000000000000e+00,1.823171710031987232e+02,1.568788631779473519e+02,1.552082710992056320e+02,1.621102231979305373e+02,1.517597856108835970e+02,1.469874117168384089e+02,1.769562325768462756e+02,2.025180836815505643e+02,0.000000000000000000e+00
1.258128613956957906e+02,0.000000000000000000e+00,7.279585335274856561e+01,1.352366150879425106e+02,1.315924037927499342e+02,1.047224500012935522e+02,7.494448165572157450e+01,1.409691367890815457e+02,1.687039584960432990e+02,1.258128613956957906e+02
8.355537658232400133e+01,4.753311084067802028e+01,0.000000000000000000e+00,1.004901435562809979e+02,1.038111480567425389e+02,6.900121094979512293e+01,5.447376256556348295e+01,1.160863120661010726e+02,1.148508649816374856e+02,8.355537658232400133e+01
7.368983207268431102e+01,8.401865033341701405e+01,7.385461961275731824e+01,0.000000000000000000e+00,6.498568675499377889e+01,7.949036083732303837e+01,7.232317023796110789e+01,8.342683186193075073e+01,1.289047241702062934e+02,7.368983207268431102e+01
7.920463379087556177e+01,7.849972623394559434e+01,6.079487341563417147e+01,5.583557315491121642e+01,0.000000000000000000e+00,6.234653219235784150e+01,5.976893097323443982e+01,5.379742604874878964e+01,1.123969765261470428e+02,7.920463379087556177e+01
7.225809381977946089e+01,6.688527861849519240e+01,5.567658460269959164e+01,7.762485817435502611e+01,7.319961570969017828e+01,0.000000000000000000e+00,3.686208699958336865e+01,7.073742918920191869e+01,9.246691815634302714e+01,7.225809381977946089e+01
1.073785399492879833e+02,7.518112761134908339e+01,7.644515524600819845e+01,1.223517690585267417e+02,1.240982513087668622e+02,6.936582807580013821e+01,0.000000000000000000e+00,1.280643399025732379e+02,1.426015607306217703e+02,1.073785399492879833e+02
6.802200447431894759e+01,6.700617474743252444e+01,5.518796052952898634e+01,4.782283202724048721e+01,4.589363059702173331e+01,4.448870738214316134e+01,4.367560340618256021e+01,0.000000000000000000e+00,8.520232264164732783e+01,6.802200447431894759e+01
1.765999971226536900e+02,1.109352260361404916e+02,1.022572793021986257e+02,2.003761130603346317e+02,2.125181707815594336e+02,1.472914665451982614e+02,1.271362822080742916e+02,2.170843678645206012e+02,0.000000000000000000e+00,1.765999971226536900e+02
0.000000000000000000e+00,1.823171710031987232e+02,1.568788631779473519e+02,1.552082710992056320e+02,1.621102231979305373e+02,1.517597856108835970e+02,1.469874117168384089e+02,1.769562325768462756e+02,2.025180836815505643e+02,0.000000000000000000e+00
dir,/home/junkado/Desktop/keio/20180325/3ddata/pitcher/oishi/,type,breaking,files number,10,optimal reference,1-1-005_017.csv,
0.000000000000000000e+00,3.720867162889568647e+01,5.548916975206675062e+01,3.492127211013189481e+01,4.290311368797218705e+01,3.376534512761743656e+01,4.491612549396969456e+01,6.047496764809022096e+01,3.579447206259094827e+01,8.105800280303201077e+01
8.708630176969619185e+01,0.000000000000000000e+00,6.459398687965192210e+01,4.294943974324418434e+01,4.377205444843826854e+01,4.945069189534572729e+01,4.936190465334920674e+01,1.059741441046774355e+02,4.257514562675658709e+01,1.512035511742006406e+02
2.102346590923228291e+02,1.030047195728869838e+02,0.000000000000000000e+00,9.559299753058361659e+01,1.369712561559398978e+02,1.274732700016403868e+02,1.023104866597538063e+02,2.005355898110779549e+02,1.109098137099722265e+02,2.333655844568484099e+02
6.973013124169987975e+01,4.388020498858257668e+01,5.533398801443281911e+01,0.000000000000000000e+00,5.156282349701260870e+01,4.601527754529497116e+01,4.471935736902450031e+01,9.010333825266251040e+01,4.092283342015063852e+01,1.170892970143307252e+02
5.370612250216826311e+01,3.359581370602496264e+01,4.831033786469850355e+01,4.597897087380543724e+01,0.000000000000000000e+00,4.094147305980935414e+01,4.209727227976944874e+01,5.866435802466386207e+01,3.272364069878214821e+01,9.149013951344181805e+01
9.371811137161456884e+01,5.364539864924180534e+01,7.335021167125461261e+01,6.011585242052255040e+01,6.491164214395229237e+01,0.000000000000000000e+00,6.196402314372901543e+01,1.091373524999264504e+02,6.474317865048371345e+01,1.350547986545722665e+02
7.984934559115247055e+01,4.705303101431404400e+01,4.655121508467716041e+01,4.526302048404816247e+01,4.677099118911712594e+01,4.993005676859747410e+01,0.000000000000000000e+00,7.771653854229752767e+01,2.941461846464478214e+01,1.190600396506466296e+02
6.330804517880488902e+01,6.374911186773388039e+01,4.944094400220285479e+01,6.567612591843740688e+01,5.424931391337850073e+01,6.793853979994590020e+01,4.593063948277581687e+01,0.000000000000000000e+00,4.432532590214038493e+01,6.363035374963261148e+01
5.378508699976243435e+01,3.620856769539778952e+01,3.661155088276956349e+01,3.514736580570341573e+01,3.308048620385808647e+01,4.138899697585677018e+01,2.544000372363653995e+01,6.058025071096037806e+01,0.000000000000000000e+00,8.973067799893553342e+01
1.085124831345830074e+02,1.140615423038750436e+02,5.797003273228585840e+01,1.099475265712607097e+02,9.925485267266425637e+01,1.143488068137334466e+02,9.451664068494928017e+01,7.838542545356482094e+01,7.936198595879227469e+01,0.000000000000000000e+00
