dir,./trc,the number of files,6,optimal reference,IMAMURA01.trc,
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.399999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.760000000000000009e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.599999999999999645e-01
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.599999999999999645e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.199999999999999956e-01
1.000000000000000000e+00,8.800000000000000044e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
dir,./trc,the number of files,6,optimal reference,IMAMURA05.trc,
0.000000000000000000e+00,2.960474157098425962e+02,4.389650371621300451e+02,3.484235829842641579e+02,3.283955134126383086e+02,3.825144651432523801e+02
6.477325452695055219e+01,0.000000000000000000e+00,1.454752774120740355e+02,2.389851482805660510e+02,1.288181746730844566e+02,1.800841259894195900e+02
1.222101941280153312e+02,1.285836152100301604e+02,0.000000000000000000e+00,1.663250224400860020e+02,7.450893745054904116e+01,1.360742421654082079e+02
2.040909649185534818e+02,2.349687103202087712e+02,1.933988396599221176e+02,0.000000000000000000e+00,1.310054488258949732e+02,9.099697682800710652e+01
8.610913199018089870e+01,1.187046476188268969e+02,9.439307661710199682e+01,1.209977577757282461e+02,0.000000000000000000e+00,8.000521207629951448e+01
1.470336356214416753e+02,1.775837417357391246e+02,1.445136506982503022e+02,8.115635344913123106e+01,8.858437693045716799e+01,0.000000000000000000e+00
