dir,./trc,the number of files,7,optimal reference,IMAMURA05.trc,
0.000000000000000000e+00,2.960474157098425962e+02,4.389650371621300451e+02,3.484235829842641579e+02,3.283955134126383086e+02,3.825144651432523801e+02,3.335199121397596969e+02
6.477325452695055219e+01,0.000000000000000000e+00,1.454752774120740355e+02,2.389851482805660510e+02,1.288181746730844566e+02,1.800841259894195900e+02,2.294437992510025026e+02
1.222101941280153312e+02,1.285836152100301604e+02,0.000000000000000000e+00,1.663250224400860020e+02,7.450893745054904116e+01,1.360742421654082079e+02,1.428965683888042975e+02
2.040909649185534818e+02,2.349687103202087712e+02,1.933988396599221176e+02,0.000000000000000000e+00,1.310054488258949732e+02,9.099697682800710652e+01,1.343990198244805185e+02
8.610913199018089870e+01,1.187046476188268969e+02,9.439307661710199682e+01,1.209977577757282461e+02,0.000000000000000000e+00,8.000521207629951448e+01,1.156015874599511335e+02
1.470336356214416753e+02,1.775837417357391246e+02,1.445136506982503022e+02,8.115635344913123106e+01,8.858437693045716799e+01,0.000000000000000000e+00,1.570740213742848255e+02
1.739476691070036622e+02,2.181191198391544219e+02,1.982577906471362041e+02,1.163411108377477632e+02,1.241082916580295574e+02,1.615950084079883027e+02,0.000000000000000000e+00
